2069.4556093226242
3.2666101766840794
This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   672254
Number of nonzeros in inequality constraint Jacobian.:    68250
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    74504
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    74504
                     variables with only upper bounds:        0
Total number of equality constraints.................:    69504
Total number of inequality constraints...............:    28650
        inequality constraints with only lower bounds:    13800
   inequality constraints with lower and upper bounds:     1050
        inequality constraints with only upper bounds:    13800

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 8.8475039e+003 5.99e+003 1.00e+002   0.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 8.7891913e+003 5.94e+003 1.20e+005  -1.1 6.58e+001    -  6.63e-008 7.58e-003f  1
   2 9.5315885e+003 5.01e+003 1.01e+005  -1.1 2.62e+001    -  9.83e-003 1.57e-001f  1
   3 1.1421864e+004 4.63e+003 9.36e+004  -0.6 2.73e+001    -  3.90e-002 7.56e-002f  1
   4 1.6609144e+004 4.16e+003 8.41e+004  -0.5 2.62e+001    -  8.21e-002 1.01e-001f  1
   5 1.8195483e+004 3.99e+003 8.08e+004  -5.1 3.17e+001  -4.0 1.34e-001 3.91e-002h  1
   6 1.9633452e+004 3.84e+003 7.77e+004  -5.1 3.15e+001    -  5.23e-002 3.89e-002h  1
   7 1.9872586e+004 3.78e+003 7.66e+004  -1.3 6.48e+001    -  1.17e-001 1.37e-002h  1
   8 1.9915781e+004 3.77e+003 7.64e+004  -5.2 7.92e+001    -  1.14e-001 2.95e-003h  1
   9 2.3710286e+004 2.93e+003 5.93e+004  -0.6 7.73e+001  -4.5 1.12e-001 2.23e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 2.4159803e+004 2.53e+003 5.14e+004  -0.2 8.34e+001    -  1.72e-001 1.33e-001f  1
  11 2.4185384e+004 2.52e+003 5.11e+004  -5.4 5.74e+001    -  2.92e-002 5.89e-003h  1
  12 2.4253969e+004 2.45e+003 4.96e+004  -0.7 5.18e+001    -  1.74e-001 2.87e-002f  1
  13 2.4334593e+004 2.34e+003 4.75e+004  -0.7 4.20e+001    -  2.20e-002 4.28e-002f  1
  14 2.4364130e+004 2.33e+003 4.73e+004  -5.5 4.45e+001    -  1.34e-002 5.42e-003h  1
  15 2.4482735e+004 2.16e+003 4.38e+004  -0.8 3.99e+001    -  1.94e-002 7.22e-002f  1
  16 2.4502084e+004 2.14e+003 4.35e+004  -1.4 6.12e+001    -  3.82e-002 7.39e-003h  1
  17 2.4505013e+004 2.09e+003 4.24e+004  -0.0 7.09e+001    -  3.30e-002 2.52e-002f  1
  18 2.4554182e+004 2.05e+003 4.15e+004  -5.5 6.27e+001    -  8.56e-003 2.06e-002h  1
  19 2.4594915e+004 1.95e+003 3.96e+004  -0.6 6.17e+001    -  8.78e-002 4.70e-002f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 2.4603358e+004 1.89e+003 3.84e+004  -0.2 6.22e+001    -  1.97e-002 3.06e-002f  1
  21 2.4604108e+004 1.87e+003 3.80e+004  -1.7 5.14e+001    -  1.13e-002 1.01e-002h  1
  22 2.4629571e+004 1.73e+003 3.50e+004  -0.7 5.00e+001    -  4.10e-002 7.75e-002f  1
  23 2.4634600e+004 1.72e+003 3.49e+004  -5.6 4.54e+001    -  1.36e-002 4.58e-003h  1
  24 2.4505270e+004 1.69e+003 3.43e+004  -1.1 3.79e+001  -5.9 4.48e-002 1.79e-002f  1
  25 2.4367080e+004 1.66e+003 3.36e+004  -5.6 3.72e+001    -  4.51e-003 1.88e-002h  1
  26 2.3997509e+004 1.54e+003 3.12e+004  -0.6 3.89e+001    -  4.33e-002 7.06e-002f  1
  27 2.4033006e+004 1.51e+003 3.05e+004  -1.0 4.59e+001    -  5.56e-002 2.22e-002f  1
  28 2.4035655e+004 1.43e+003 2.89e+004  -1.8 4.71e+001    -  3.97e-002 5.39e-002h  1
  29 2.3971868e+004 1.41e+003 2.86e+004  -5.7 4.00e+001    -  1.86e-002 1.20e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 2.3772127e+004 1.34e+003 2.71e+004  -1.4 3.72e+001    -  1.91e-002 4.99e-002f  1
  31 2.3766481e+004 1.34e+003 2.71e+004  -5.7 3.43e+001    -  5.92e-003 2.72e-003h  1
  32 2.3910995e+004 1.23e+003 2.50e+004  -1.6 3.43e+001  -6.4 3.37e-002 7.71e-002h  1
  33 2.3916748e+004 1.23e+003 2.49e+004  -5.7 3.46e+001    -  5.39e-003 2.11e-003h  1
  34 2.3687221e+004 1.12e+003 2.27e+004  -1.6 3.09e+001    -  7.19e-002 8.92e-002h  1
  35 2.3666954e+004 1.11e+003 2.25e+004  -5.7 4.10e+001    -  8.09e-003 7.84e-003h  1
  36 2.3608816e+004 1.09e+003 2.20e+004  -1.8 4.19e+001    -  5.16e-002 2.47e-002h  1
  37 2.3960659e+004 9.84e+002 1.99e+004  -0.8 3.87e+001  -4.7 1.53e-002 9.50e-002f  1
  38 2.3961232e+004 9.75e+002 1.97e+004  -5.8 3.23e+001    -  7.00e-002 8.91e-003h  1
  39 2.4142309e+004 8.35e+002 1.68e+004  -1.0 3.11e+001    -  2.34e-002 1.46e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 2.4146454e+004 8.27e+002 1.67e+004  -5.8 3.82e+001    -  1.85e-002 9.07e-003h  1
  41 2.4941167e+004 6.49e+002 1.30e+004  -1.7 3.09e+001    -  9.10e-002 2.18e-001h  1
  42 2.8168518e+004 2.24e+004 2.49e+005  -0.3 4.82e+001    -  4.22e-002 4.85e-001f  1
  43 2.8243022e+004 2.16e+004 2.43e+005   0.0 5.22e+001    -  6.28e-002 3.68e-002f  1
  44 2.8537747e+004 2.05e+004 2.48e+005   0.0 6.07e+001    -  1.29e-001 4.87e-002f  1
  45 2.9476641e+004 1.77e+004 1.99e+005   0.0 6.76e+001    -  4.82e-002 1.38e-001f  1
  46 3.0440319e+004 1.50e+004 3.35e+005   0.0 5.31e+001    -  1.85e-001 1.61e-001f  1
  47 2.8731209e+004 1.14e+004 4.75e+005   0.0 3.85e+001    -  2.35e-001 2.53e-001f  1
  48 2.8191489e+004 9.60e+003 4.75e+005   0.0 4.53e+001    -  2.87e-001 1.65e-001f  1
  49 2.8147623e+004 7.24e+003 5.93e+005   0.0 3.78e+001    -  4.91e-001 2.59e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 2.8570926e+004 5.69e+003 7.65e+005   0.0 5.47e+001    -  2.46e-001 2.24e-001f  1
  51 2.8320193e+004 5.02e+003 5.65e+005   0.0 8.41e+001    -  1.85e-001 1.17e-001h  1
  52 2.9062967e+004 4.16e+003 5.36e+005   0.0 6.14e+001    -  2.54e-001 1.73e-001f  1
  53 3.0771767e+004 3.32e+003 4.87e+005   0.0 1.12e+002    -  8.36e-002 2.13e-001f  1
  54 3.1626655e+004 2.79e+003 4.48e+005   0.0 1.20e+002    -  1.68e-001 1.56e-001h  1
  55 3.3118192e+004 2.20e+003 4.04e+005   0.0 3.22e+001    -  3.29e-001 1.94e-001h  1
  56 3.6468707e+004 1.30e+003 3.76e+005   0.0 1.19e+002    -  1.93e-001 3.91e-001h  1
  57 3.7185070e+004 1.08e+003 2.81e+005   0.0 5.22e+001    -  3.82e-002 2.87e-001h  1
  58 3.8018815e+004 7.75e+002 2.07e+005   0.0 4.46e+001    -  4.12e-001 2.81e-001f  1
  59 3.8783752e+004 6.61e+002 1.79e+005   0.0 7.86e+001    -  2.48e-001 1.47e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 3.9494426e+004 5.78e+002 1.59e+005   0.0 3.92e+001    -  8.57e-002 1.22e-001f  1
  61 4.2046523e+004 3.47e+002 1.06e+005   0.0 3.70e+001    -  8.40e-002 3.60e-001h  1
  62 4.5118111e+004 1.86e+002 6.05e+004   0.0 2.65e+001    -  3.10e-001 4.32e-001h  1
  63 4.7865399e+004 4.05e+002 2.78e+004   0.0 2.82e+001    -  3.44e-001 6.90e-001f  1
  64 3.9542793e+004 9.12e+001 1.07e+004  -0.4 1.74e+001    -  4.77e-001 9.24e-001f  1
  65 3.8603805e+004 7.87e+001 3.52e+003  -1.5 1.54e+001    -  5.20e-001 1.00e+000h  1
